ROI Label,ROI Name,R,A,S,label_df2
55,7Networks_LH_Limbic_OFC_1,-24,22,-20,17Networks_LH_LimbicB_OFC_1
56,7Networks_LH_Limbic_OFC_2,-10,36,-20,17Networks_LH_LimbicB_OFC_2
57,7Networks_LH_Limbic_TempPole_1,-30,-6,-40,17Networks_LH_LimbicA_TempPole_1
58,7Networks_LH_Limbic_TempPole_2,-44,-20,-30,17Networks_LH_LimbicA_TempPole_2
59,7Networks_LH_Limbic_TempPole_3,-28,10,-34,17Networks_LH_LimbicA_TempPole_3
60,7Networks_LH_Limbic_TempPole_4,-42,8,-18,17Networks_LH_LimbicA_TempPole_4
61,7Networks_LH_Cont_Par_1,-54,-50,46,17Networks_LH_ContB_IPL_1
62,7Networks_LH_Cont_Par_2,-34,-62,48,17Networks_LH_ContA_IPS_1
63,7Networks_LH_Cont_Par_3,-46,-42,46,17Networks_LH_ContA_IPS_2
64,7Networks_LH_Cont_Temp_1,-60,-42,-14,17Networks_LH_ContB_Temp_1
65,7Networks_LH_Cont_OFC_1,-32,42,-14,17Networks_LH_DefaultB_PFCv_2
66,7Networks_LH_Cont_PFCl_1,-42,50,-6,17Networks_LH_ContB_PFClv_1
67,7Networks_LH_Cont_PFCl_2,-28,58,8,17Networks_LH_ContB_PFClv_2
68,7Networks_LH_Cont_PFCl_3,-42,40,16,17Networks_LH_ContA_PFClv_1
69,7Networks_LH_Cont_PFCl_4,-44,20,28,17Networks_LH_ContA_PFCl_1
70,7Networks_LH_Cont_PFCl_5,-42,6,44,17Networks_LH_ContA_PFCl_3
71,7Networks_LH_Cont_pCun_1,-10,-74,38,17Networks_LH_ContC_pCun_1
72,7Networks_LH_Cont_Cing_1,-4,-28,28,17Networks_LH_ContC_Cingp_1
73,7Networks_LH_Cont_Cing_2,-4,4,30,17Networks_LH_ContA_Cingm_1
74,7Networks_LH_Default_Temp_1,-46,8,-32,17Networks_LH_DefaultB_Temp_1
75,7Networks_LH_Default_Temp_2,-60,-18,-22,17Networks_LH_DefaultB_Temp_2
76,7Networks_LH_Default_Temp_3,-56,-6,-12,17Networks_LH_DefaultB_Temp_3
77,7Networks_LH_Default_Temp_4,-58,-30,-4,17Networks_LH_DefaultB_Temp_4
78,7Networks_LH_Default_Temp_5,-58,-42,8,17Networks_LH_TempPar_1
79,7Networks_LH_Default_Par_1,-48,-58,18,17Networks_LH_TempPar_2
80,7Networks_LH_Default_Par_2,-38,-80,32,17Networks_LH_DefaultC_IPL_1
81,7Networks_LH_Default_Par_3,-58,-54,28,17Networks_LH_DefaultB_IPL_1
82,7Networks_LH_Default_Par_4,-46,-66,38,17Networks_LH_DefaultA_IPL_1
83,7Networks_LH_Default_PFC_1,-34,20,-14,17Networks_LH_DefaultB_PFCv_1
84,7Networks_LH_Default_PFC_2,-6,36,-10,17Networks_LH_DefaultA_PFCm_1
85,7Networks_LH_Default_PFC_3,-46,30,-8,17Networks_LH_DefaultB_PFCv_3
86,7Networks_LH_Default_PFC_4,-12,64,-6,17Networks_LH_DefaultA_PFCm_2
87,7Networks_LH_Default_PFC_5,-52,22,8,17Networks_LH_DefaultB_PFCv_4
88,7Networks_LH_Default_PFC_6,-6,44,8,17Networks_LH_DefaultA_PFCm_3
89,7Networks_LH_Default_PFC_7,-8,60,20,17Networks_LH_DefaultB_PFCd_1
90,7Networks_LH_Default_PFC_8,-6,30,24,17Networks_LH_SalVentAttnB_PFCmp_1
91,7Networks_LH_Default_PFC_9,-12,48,44,17Networks_LH_DefaultB_PFCd_2
92,7Networks_LH_Default_PFC_10,-4,34,44,17Networks_LH_DefaultB_PFCd_3
93,7Networks_LH_Default_PFC_11,-40,18,50,17Networks_LH_ContB_PFCl_1
94,7Networks_LH_Default_PFC_12,-24,24,48,17Networks_LH_DefaultA_PFCd_1
95,7Networks_LH_Default_PFC_13,-10,16,64,17Networks_LH_DefaultB_PFCd_4
96,7Networks_LH_Default_pCunPCC_1,-10,-56,12,17Networks_LH_DefaultC_Rsp_1
97,7Networks_LH_Default_pCunPCC_2,-6,-54,28,17Networks_LH_DefaultA_pCunPCC_1
98,7Networks_LH_Default_pCunPCC_3,-4,-30,36,17Networks_LH_DefaultA_pCunPCC_2
99,7Networks_LH_Default_pCunPCC_4,-6,-54,42,17Networks_LH_DefaultA_pCunPCC_3
100,7Networks_LH_Default_PHC_1,-26,-32,-18,17Networks_LH_DefaultC_PHC_1
101,7Networks_RH_Vis_1,38,-34,-24,17Networks_RH_LimbicA_TempPole_4
102,7Networks_RH_Vis_2,28,-36,-14,17Networks_RH_DefaultC_PHC_1
103,7Networks_RH_Vis_3,28,-68,-12,17Networks_RH_VisCent_ExStr_1
104,7Networks_RH_Vis_4,12,-64,-4,17Networks_RH_VisPeri_ExStrInf_1
105,7Networks_RH_Vis_5,48,-72,-6,17Networks_RH_VisCent_ExStr_2
106,7Networks_RH_Vis_6,12,-92,-6,17Networks_RH_VisCent_Striate_1
107,7Networks_RH_Vis_7,16,-46,-2,17Networks_RH_VisPeri_ExStrInf_2
108,7Networks_RH_Vis_8,30,-94,-4,17Networks_RH_VisCent_ExStr_3
109,7Networks_RH_Vis_9,8,-76,8,17Networks_RH_VisPeri_StriCal_1
110,7Networks_RH_Vis_10,22,-60,8,17Networks_RH_VisPeri_ExStrSup_1
111,7Networks_RH_Vis_11,42,-80,10,17Networks_RH_VisCent_ExStr_4
112,7Networks_RH_Vis_12,20,-90,22,17Networks_RH_VisCent_ExStr_5
113,7Networks_RH_Vis_13,10,-74,26,17Networks_RH_VisPeri_ExStrSup_2
114,7Networks_RH_Vis_14,16,-84,40,17Networks_RH_VisPeri_ExStrSup_3
115,7Networks_RH_Vis_15,32,-74,32,17Networks_RH_DorsAttnA_SPL_1
116,7Networks_RH_SomMot_1,52,-14,4,17Networks_RH_SomMotB_Aud_1
117,7Networks_RH_SomMot_2,64,-24,8,17Networks_RH_SomMotB_Aud_2
118,7Networks_RH_SomMot_3,38,-14,14,17Networks_RH_SomMotB_S2_1
119,7Networks_RH_SomMot_4,44,-28,18,17Networks_RH_SomMotB_S2_2
120,7Networks_RH_SomMot_5,60,0,10,17Networks_RH_SomMotB_S2_3
121,7Networks_RH_SomMot_6,56,-12,14,17Networks_RH_SomMotB_S2_4
122,7Networks_RH_SomMot_7,58,-4,30,17Networks_RH_SomMotB_Cent_1
123,7Networks_RH_SomMot_8,10,-16,42,17Networks_RH_SalVentAttnA_ParMed_1
124,7Networks_RH_SomMot_9,52,-22,52,17Networks_RH_SomMotA_1
125,7Networks_RH_SomMot_10,46,-12,48,17Networks_RH_SomMotA_2
126,7Networks_RH_SomMot_11,6,-10,52,17Networks_RH_SomMotA_3
127,7Networks_RH_SomMot_12,40,-24,58,17Networks_RH_SomMotA_4
128,7Networks_RH_SomMot_13,32,-40,64,17Networks_RH_SomMotA_5
129,7Networks_RH_SomMot_14,34,-20,66,17Networks_RH_SomMotA_6
130,7Networks_RH_SomMot_15,28,-34,66,17Networks_RH_SomMotA_7
131,7Networks_RH_SomMot_16,22,-8,68,17Networks_RH_SomMotA_8
132,7Networks_RH_SomMot_17,10,-40,70,17Networks_RH_SomMotA_9
133,7Networks_RH_SomMot_18,6,-22,68,17Networks_RH_SomMotA_10
134,7Networks_RH_SomMot_19,20,-30,70,17Networks_RH_SomMotA_11
135,7Networks_RH_DorsAttn_Post_1,50,-54,-16,17Networks_RH_DorsAttnA_TempOcc_1
136,7Networks_RH_DorsAttn_Post_2,52,-60,10,17Networks_RH_DorsAttnA_ParOcc_1
137,7Networks_RH_DorsAttn_Post_3,60,-16,34,17Networks_RH_DorsAttnB_PostC_1
138,7Networks_RH_DorsAttn_Post_4,46,-38,50,17Networks_RH_ContA_IPS_2
139,7Networks_RH_DorsAttn_Post_5,42,-32,46,17Networks_RH_DorsAttnB_PostC_2
140,7Networks_RH_DorsAttn_Post_6,14,-74,52,17Networks_RH_DorsAttnA_SPL_2
141,7Networks_RH_DorsAttn_Post_7,34,-48,50,17Networks_RH_DorsAttnA_SPL_3
142,7Networks_RH_DorsAttn_Post_8,26,-62,58,17Networks_RH_DorsAttnA_SPL_4
143,7Networks_RH_DorsAttn_Post_9,8,-56,62,17Networks_RH_DorsAttnB_PostC_3
144,7Networks_RH_DorsAttn_Post_10,22,-48,70,17Networks_RH_DorsAttnB_PostC_4
145,7Networks_RH_DorsAttn_FEF_1,34,-4,52,17Networks_RH_DorsAttnB_FEF_1
146,7Networks_RH_DorsAttn_FEF_2,26,8,58,17Networks_RH_ContA_PFCd_1
147,7Networks_RH_DorsAttn_PrCv_1,52,10,20,17Networks_RH_ContA_PFCl_1
148,7Networks_RH_SalVentAttn_TempOccPar_1,58,-46,10,17Networks_RH_TempPar_3
149,7Networks_RH_SalVentAttn_TempOccPar_2,60,-38,16,17Networks_RH_TempPar_4
150,7Networks_RH_SalVentAttn_TempOccPar_3,60,-26,28,17Networks_RH_SalVentAttnA_ParOper_1
151,7Networks_RH_SalVentAttn_PrC_1,50,4,40,17Networks_RH_SalVentAttnA_PrC_1
152,7Networks_RH_SalVentAttn_FrOperIns_1,40,6,-16,17Networks_RH_SalVentAttnA_Ins_1
153,7Networks_RH_SalVentAttn_FrOperIns_2,46,-4,-4,17Networks_RH_SalVentAttnA_Ins_2
154,7Networks_RH_SalVentAttn_FrOperIns_3,36,24,4,17Networks_RH_SalVentAttnB_Ins_2
155,7Networks_RH_SalVentAttn_FrOperIns_4,44,6,4,17Networks_RH_SalVentAttnA_FrOper_1
156,7Networks_RH_SalVentAttn_Med_1,8,10,42,17Networks_RH_SalVentAttnA_FrMed_1
157,7Networks_RH_SalVentAttn_Med_2,10,-36,46,17Networks_RH_SalVentAttnA_ParMed_2
158,7Networks_RH_SalVentAttn_Med_3,8,4,66,17Networks_RH_SalVentAttnA_FrMed_2
159,7Networks_RH_Limbic_OFC_1,12,38,-22,17Networks_RH_LimbicB_OFC_1
160,7Networks_RH_Limbic_OFC_2,28,22,-20,17Networks_RH_LimbicB_OFC_2
161,7Networks_RH_Limbic_OFC_3,14,64,-8,17Networks_RH_LimbicB_OFC_4
162,7Networks_RH_Limbic_TempPole_1,30,8,-38,17Networks_RH_LimbicA_TempPole_1
163,7Networks_RH_Limbic_TempPole_2,46,-12,-34,17Networks_RH_LimbicA_TempPole_2
164,7Networks_RH_Limbic_TempPole_3,26,-10,-32,17Networks_RH_LimbicA_TempPole_3
165,7Networks_RH_Cont_Par_1,62,-38,36,17Networks_RH_SalVentAttnB_IPL_1
166,7Networks_RH_Cont_Par_2,52,-42,48,17Networks_RH_ContB_IPL_2
167,7Networks_RH_Cont_Par_3,38,-62,48,17Networks_RH_ContA_IPS_1
168,7Networks_RH_Cont_Temp_1,62,-42,-12,17Networks_RH_ContB_Temp_2
169,7Networks_RH_Cont_PFCv_1,34,22,-8,17Networks_RH_SalVentAttnB_Ins_1
170,7Networks_RH_Cont_PFCl_1,36,46,-14,17Networks_RH_ContB_PFClv_1
171,7Networks_RH_Cont_PFCl_2,30,58,4,17Networks_RH_ContB_PFClv_2
172,7Networks_RH_Cont_PFCl_3,44,44,10,17Networks_RH_SalVentAttnB_PFClv_1
173,7Networks_RH_Cont_PFCl_4,46,24,26,17Networks_RH_ContA_PFCl_2
174,7Networks_RH_Cont_PFCl_5,30,48,28,17Networks_RH_SalVentAttnB_PFCl_1
175,7Networks_RH_Cont_PFCl_6,40,34,38,17Networks_RH_ContB_PFCld_1
176,7Networks_RH_Cont_PFCl_7,42,14,48,17Networks_RH_ContB_PFCld_2
177,7Networks_RH_Cont_pCun_1,14,-70,36,17Networks_RH_ContC_pCun_1
178,7Networks_RH_Cont_Cing_1,6,-24,30,17Networks_RH_ContC_Cingp_1
179,7Networks_RH_Cont_Cing_2,4,2,30,17Networks_RH_ContA_Cingm_1
180,7Networks_RH_Cont_PFCmp_1,8,30,28,17Networks_RH_SalVentAttnB_PFCmp_1
181,7Networks_RH_Cont_PFCmp_2,8,24,56,17Networks_RH_ContB_PFCmp_1
182,7Networks_RH_Default_Par_1,46,-70,28,17Networks_RH_DefaultC_IPL_1
183,7Networks_RH_Default_Par_2,54,-50,28,17Networks_RH_DefaultA_IPL_1
184,7Networks_RH_Default_Par_3,50,-58,44,17Networks_RH_ContB_IPL_1
185,7Networks_RH_Default_Temp_1,48,12,-30,17Networks_RH_DefaultB_AntTemp_1
186,7Networks_RH_Default_Temp_2,60,-12,-20,17Networks_RH_ContB_Temp_1
187,7Networks_RH_Default_Temp_3,54,-6,-10,17Networks_RH_TempPar_1
188,7Networks_RH_Default_Temp_4,62,-26,-6,17Networks_RH_DefaultB_Temp_1
189,7Networks_RH_Default_Temp_5,52,-32,2,17Networks_RH_TempPar_2
190,7Networks_RH_Default_PFCv_1,50,28,0,17Networks_RH_DefaultB_PFCv_1
191,7Networks_RH_Default_PFCdPFCm_1,4,36,-14,17Networks_RH_LimbicB_OFC_3
192,7Networks_RH_Default_PFCdPFCm_2,8,42,4,17Networks_RH_DefaultA_PFCm_1
193,7Networks_RH_Default_PFCdPFCm_3,6,28,16,17Networks_RH_DefaultA_PFCm_2
194,7Networks_RH_Default_PFCdPFCm_4,8,58,18,17Networks_RH_DefaultA_PFCm_3
195,7Networks_RH_Default_PFCdPFCm_5,16,46,44,17Networks_RH_DefaultB_PFCd_1
196,7Networks_RH_Default_PFCdPFCm_6,28,30,42,17Networks_RH_DefaultA_PFCd_1
197,7Networks_RH_Default_PFCdPFCm_7,24,24,54,17Networks_RH_ContB_PFCld_3
198,7Networks_RH_Default_pCunPCC_1,12,-54,14,17Networks_RH_DefaultC_Rsp_1
199,7Networks_RH_Default_pCunPCC_2,6,-48,30,17Networks_RH_DefaultA_pCunPCC_1
200,7Networks_RH_Default_pCunPCC_3,6,-58,44,17Networks_RH_ContC_pCun_2
